Go Air,1
Air India,2
Jet Airways,3
Vistara,4
Spicejet,5
Aiwa,6
Faber Heatkraft,7
IFB,8
Kenwood Car Audio,9
LG Electronics,10
Mitsubishi Electric,11
Panasonic,12
Samsung,13
Apollo Tyres,14
Ashok Leyland,15
Hero Motocorp,17
Bajaj Auto,16
Kinetic,19
Honda Cars,18
Michelin,21
Maruti Suzuki,20
Suzuki,23
MRF Tyres,22
Toyota,25
Tata Motors,24
Yamaha,27
TVS,26
ABN-AMRO Bank,29
Abu Dhabi Commercial Bank,28
American Express,31
Allahabad Bank,30
Bank of Baroda,34
Bank of India,35
Andhra Bank,32
Axis Bank,33
Barclays Bank,38
Central Bank of India,39
Bank of Maharashtra,36
Royal Bank of Scotland,37
Dena Bank,42
Deutsche Bank,43
Citibank,40
Corporation Bank,41
Export Credit Guarantee Corporation,46
HDFC Bank,47
Development Credit Bank,44
DSB Bank,45
Kotak Mahindra Bank,51
Indian Overseas Bank,50
ICICI Bank Limited,49
HSBC Bank,48
Punjab and Sind Bank,55
Oriental Insurance,54
Oriental Bank of Commerce,53
Mastercard,52
State Bank of Hydrabad,59
State Bank of Indore,58
Standard Chartered Bank,57
Punjab National Bank,56
State Bank of Mysore,63
State Bank of Mauritius,62
State Bank of Jaipur,61
State Bank of India,60
United Bank,68
Vijaya Bank,69
Visa,70
Yes Bank,71
State Bank of Saurashtra,64
State Bank of Patiala,65
UCO Bank,66
Union Bank of India,67
Videocon D2H,76
Acer,77
Apple,78
Asus,79
Airtel DTH,72
Big TV,73
Dish TV,74
Tata Sky,75
Lenovo,85
HP,84
Sony VAIO,87
Blackberry,86
Compaq,81
Benq,80
HCL Tablets,83
Dell,82
Brilliant Tutorials,93
"Birla Institute of Technology,Ranchi,Jharkhand",92
Chitkara University,95
Career Launcher,94
Aakash Institute,89
Toshiba,88
Birla Institute of Technology and Science BITS Pilani,91
Amity University,90
Professional Tutorials,102
Rai Business School,103
Lovely Professional University,100
Manipal University,101
IIPM,98
"KIIT University,Bhubaneswar",99
Delhi Public School,96
FIIT JEE,97
Apollo DKV Insurance,110
Apollo Munich Health,111
AEGON Religare Life Insurance,108
Agriculture Insurance Company of India,109
TIME,106
Vidya Mandir Clases,107
Symbiosis University,104
"Thapar University in Patiala,Punjab",105
DHFL Pramerica Life Insurance,119
Cholamandalam General Insurance,118
Canara HSBC OBC Life Insurance,117
Birla Sun Life,116
Bharti AXA Life,115
Bharti Axa General Insurance,114
Bajaj Allianz Life,113
Aviva Life Insurance,112
IDBI Fortis Life Insurance,127
ICICI Prudential Life,126
ICICI Lombard,125
HDFC-Chubb General Insurance,124
HDFC Standard Life Insurance,123
HDFC Ergo General Insurance,122
Future Generali General Insurance,121
Future Generali Life Insurance,120
Sahara India Life Insurance,137
Royal Sundaram Alliance Insurance,136
Shriram General Insurance,139
SBI Life Insurance Co. Ltd,138
Star Union Dai-ichi Life Insurance,141
Shriram Life Insurance,140
United India Insurance,143
Tata AIA Life Insurance Company,142
Kotak Mahindra Old Mutual Life Insurance,129
Exide Life Insurance,128
Max Life Insurance,131
LIC,130
New India Assurance,133
PNB Met Life India Insurance,132
Reliance Life Insurance,135
Raheja QBE General Insurance,134
Karbonn,152
MAXX,153
Micromax,154
Motorola,155
Nokia,156
O2,157
Palm,158
Sony Mobile,159
Universal Sompo General Insurance,144
Max Hospital,145
Holy Family Hospital,146
Classic,147
HTC,148
i-mate,149
i-PAQ,150
Apple,151
Cleartrip,171
Buytheprice,169
Brandmile,168
Easemytrip,175
Desicouture,174
Dealsandyou,173
Crossword,172
99labels,163
20North,162
Videocon Mobiles,161
Spice Mobiles,160
Bookmyshow,167
Bindass Bargain,166
Bigshoebazaar,165
BagitToday,164
Indiatimes Shopping,186
Infibeam,187
Indiangiftsportal,184
IndiaPlaza,185
Justdial,190
Letsbuyit.com,191
Inkfruit,188
IRCTC,189
Fashionandyou,178
Flipkart,179
Koovs,176
Ebay,177
Homeshop18,182
Ibibo,183
Florist,180
FutureBazar,181
Intarvo,205
Taggle,204
Travelchacha,207
Daily Objects,206
Seventymm,201
Rediff Shopping,200
Snapdeal,203
Shoptoday,202
Perfume2Order,197
Naukri,196
Privatesales,199
Mithaimate,193
Makemytrip,192
Naaptol,195
Myntra,194
MTNL,220
Reliance Communications,221
Tata Docomo,222
Tata Indicom,223
Aircel,216
Airtel,217
BSNL,218
Idea Cellular,219
DB Realty,213
Travelocity,208
Via,209
Yatra,210
Zoomin,211
Amaron,239
Indigo Airlines,238
"Reliance Energy Ltd,Mumbai",237
NDPL Delhi,236
Maharastra State Electricity Board,235
Mahanagar Gas Ltd,234
BSES Yamuna-Delhi,233
BSES Rajdhani-Delhi,232
Thomas Cook,231
Quick Cabs,230
Meru Cabs,229
Mega Cabs,228
Club Mahindra Holidays,227
Easy Cabs,226
Vodafone,225
Lloyd,254
Luminous Power Technologies,255
Kenstar,252
Koryo,253
Haier,250
Hitachi,251
Godrej,249
Epson,246
Eureka Forbes,247
Daikin,244
Electrolux,245
Canon,242
Crompton Greaves,243
Bajaj Electricals,240
Bluestar,241
Whirlpool,275
Wespro,274
Videocon,272
Fiat,279
Exide,278
Concorde Motors,277
Chevrolet,276
Hyundai Motors,283
Goodyear Tyres,282
Ford India,280
Volkswagen,287
Skoda Auto,286
Royal Enfield,285
Mahindra,284
Onida,258
Philips,259
Microtek,256
Moser Baer,257
Racold Geysers and Heaters,262
Sharp,263
Prestige TTK,260
Propello,261
Sunflame,266
Symphony,267
Sony,264
Su-Kam Power Systems,265
TVSE,270
Usha International,271
Tata Swach,268
Voltas,269
UTI Bank,305
Unicon Securities India,304
Young Grow,307
Western Union,306
Sun Direct,309
Reliance Big TV,308
Western Digital,311
AOC,310
Aggarwal Goods Shifting Pvt. Ltd.,313
AFL Courier,312
Associated Road Carriers Ltd.,315
AIMS International Movers and Packers,314
Blazeflash Couriers Limited,317
BEST Courier,316
Deccan 360 Deccan Express and Cargo Logistics Pvt Ltd,319
Blue Dart Couriers,318
Arcadia Share Stock Brokers,288
CCAvenue,289
GE Money,290
Gold Sukh Trade,291
IDBI Bank,292
Karvy Financial Services,293
Karvy Insurance Broking,294
Karvy Stock Broking,295
LIC Housing Finance,296
National Commodity Derivatives Exchange Limited NCDEX,297
Nirmal Bang Securities,298
Sharekhan,299
Shriram City Union Finance,300
Sundaram Mutual Fund,301
Syndicate Bank,302
Unicon Investment Solutions,303
"SMS Hospital,Jaipur",343
