City1,City2
Umta,Patna
Umta,Ranchi
Umta,Gaya
Umta,Kolkata
Umta,Varanasi
Kumarakom,Coimbatore
Kumarakom,Kozhikode
Kumarakom,Madurai
Kumarakom,Bengaluru
Kumarakom,Tiruchirappalli
Kumarakom,Thiruvananthapuram
Kumarakom,Kochi
Ratnapur,Mumbai
Ratnapur,Bhopal
Ratnapur,Indore
Ratnapur,Vadodara
Ratnapur,Aurangabad
Ratnapur,Nagpur
Bamhni(Nagpur),Raipur
Bamhni(Nagpur),Hyderabad
Bamhni(Nagpur),Nagpur
Muthukulathur,Coimbatore
Muthukulathur,Madurai
Muthukulathur,Bengaluru
Muthukulathur,Tiruchirappalli
Muthukulathur,Thiruvananthapuram
Muthukulathur,Kochi
Natesar,Patna
Natesar,Ranchi
Natesar,Gaya
Natesar,Kolkata
Natesar,Varanasi
Chakand,Patna
Chakand,Ranchi
Chakand,Gaya
Chakand,Kolkata
Chakand,Varanasi
Kadavakuduru,Chennai
Kadavakuduru,Tirupati
Kadavakuduru,Visakhapatnam
Kadavakuduru,Hyderabad
Kadavakuduru,Bengaluru
Mangalagiri,Chennai
Mangalagiri,Tirupati
Mangalagiri,Visakhapatnam
Mangalagiri,Hyderabad
Ashoknagar(Ashoknagar),Bhopal
Ashoknagar(Ashoknagar),Jaipur
Ashoknagar(Ashoknagar),Indore
Ashoknagar(Ashoknagar),"New Delhi"
"Sheogarh Urf Suraja Khera",Amritsar
"Sheogarh Urf Suraja Khera",Jammu
"Sheogarh Urf Suraja Khera",Dehradun
"Sheogarh Urf Suraja Khera",Jaipur
"Sheogarh Urf Suraja Khera",Chandigarh
"Sheogarh Urf Suraja Khera","New Delhi"
Kinnigoli,Kozhikode
Kinnigoli,Bengaluru
Kinnigoli,Mangalore
Bangarapet,Coimbatore
Bangarapet,Chennai
Bangarapet,Tirupati
Bangarapet,Kozhikode
Bangarapet,Bengaluru
Bangarapet,Tiruchirappalli
Koriya,Raipur
Koriya,Patna
Koriya,Lucknow
Koriya,Ranchi
Koriya,Gaya
Koriya,Kolkata
Koriya,Varanasi
Koriya,Nagpur
Pilani,Amritsar
Pilani,Dehradun
Pilani,Jaipur
Pilani,Chandigarh
Pilani,"New Delhi"
Pilani,Jodhpur
Nibkarori,Dehradun
Nibkarori,Lucknow
Nibkarori,Jaipur
Nibkarori,"New Delhi"
Adavali,Mumbai
Adavali,Pune
Adavali,Dabolim
Adavali,Aurangabad
Rompalle,Visakhapatnam
Rompalle,Bhubaneshwar
Rompalle,Hyderabad
Nawadih(Latehar),Patna
Nawadih(Latehar),Ranchi
Nawadih(Latehar),Gaya
Nawadih(Latehar),Kolkata
Nawadih(Latehar),Varanasi
Kuknur,Tirupati
Kuknur,Kozhikode
Kuknur,Pune
Kuknur,Hyderabad
Kuknur,Bengaluru
Kuknur,Dabolim
Kuknur,Mangalore
Surajgarh,Amritsar
Surajgarh,Dehradun
Surajgarh,Jaipur
Surajgarh,Chandigarh
Surajgarh,"New Delhi"
Surajgarh,Jodhpur
Moturu(Krishna),Chennai
Moturu(Krishna),Tirupati
Moturu(Krishna),Visakhapatnam
Moturu(Krishna),Hyderabad
Partabpura(Jalandhar),Amritsar
Partabpura(Jalandhar),Jammu
Partabpura(Jalandhar),Dehradun
Partabpura(Jalandhar),Srinagar
Partabpura(Jalandhar),Chandigarh
Partabpura(Jalandhar),"New Delhi"
Kottayam,Coimbatore
Kottayam,Kozhikode
Kottayam,Madurai
Kottayam,Bengaluru
Kottayam,Tiruchirappalli
Kottayam,Thiruvananthapuram
Kottayam,Kochi
Mohra,Amritsar
Mohra,Dehradun
Mohra,Chandigarh
Mohra,"New Delhi"
Mohre,Amritsar
Mohre,Jammu
Mohre,Dehradun
Mohre,Chandigarh
Mohre,"New Delhi"
Koteshwara,Kozhikode
Koteshwara,Bengaluru
Koteshwara,Dabolim
Koteshwara,Mangalore
Jamner,Mumbai
Jamner,Bhopal
Jamner,Pune
Jamner,Indore
Jamner,Vadodara
Jamner,Aurangabad
Jamner,Nagpur
Mohri,Dehradun
Mohri,Bhopal
Mohri,Lucknow
Mohri,Jaipur
Mohri,"New Delhi"
Samkhiyali,Mumbai
Samkhiyali,Udaipur
Samkhiyali,Rajkot
Samkhiyali,Ahmedabad
Samkhiyali,Vadodara
Ottakkal,Coimbatore
Ottakkal,Madurai
Ottakkal,Bengaluru
Ottakkal,Tiruchirappalli
Ottakkal,Thiruvananthapuram
Ottakkal,Kochi
Pallikere,Coimbatore
Pallikere,Kozhikode
Pallikere,Bengaluru
Pallikere,Mangalore
Pallikere,Kochi
Nadaul,Patna
Nadaul,Ranchi
Nadaul,Gaya
Nadaul,Kolkata
Nadaul,Varanasi
Sabalpura,Udaipur
Sabalpura,Jaipur
Sabalpura,"New Delhi"
Sabalpura,Jodhpur
Itarsi,Bhopal
Itarsi,Hyderabad
Itarsi,Indore
Itarsi,Nagpur
Tanguturu,Chennai
Tanguturu,Tirupati
Tanguturu,Visakhapatnam
Tanguturu,Hyderabad
Tanguturu,Bengaluru
Amgawan,Raipur
Amgawan,Bhopal
Amgawan,Lucknow
Amgawan,Indore
Amgawan,"New Delhi"
Amgawan,Varanasi
Amgawan,Nagpur
"Kheta Sarai",Patna
"Kheta Sarai",Lucknow
"Kheta Sarai",Gaya
"Kheta Sarai","New Delhi"
"Kheta Sarai",Varanasi
Katwa,Bagdogra
Katwa,Agartala
Katwa,Ranchi
Katwa,Gaya
Katwa,Kolkata
Gothra,Amritsar
Gothra,Dehradun
Gothra,Jaipur
Gothra,Chandigarh
