1 No. Konwar Gaon,26.9674592,94.7885782,"1 No. Konwar Gaon, Assam, India",Sivasagar
1 Nwn,29.6634033,74.3528822,"1 Nwn, Rajasthan 335065, India",Hanumangarh
1 Rrw,29.6743448,74.3734092,"1 Rrw, Rajasthan 335065, India",Hanumangarh
102 Nekkilady,12.7236475,75.4971869,"102 Nekkilady, Karnataka, India",Dakshina Kannada
12 Dpn,29.1614853,75.0231457,"12 Dpn, Rajasthan 335504, India",Hanumangarh
27 Amp,29.8174408,74.2502122,"27 Amp, Rajasthan, India",Hanumangarh
29 Amp,29.7948832,74.2502122,"29 Amp, Rajasthan 335064, India",Hanumangarh
Aasalu,28.3683557,75.0764457,"Aasalu, Rajasthan 331001, India",Churu
Aata,26.0461978,79.60248,"Aata, Uttar Pradesh 285202, India",Jalaun
Aavanam Kaikaati,10.3261414,79.1301573,"Avanam Kaikatti, Lakshminarasimhapuram, Tamil Nadu, India",Pudukkottai
Abadgarh,32.1105226,75.6079411,"Abadgarh, Punjab, India",Pathankot
Abdul Malakpur,29.3900418,78.4425108,"Abdul Malakpur, Uttar Pradesh 246762, India",Bijnor
Abhaipur,25.2301131,86.355418,"Abhaipur, Bihar 811112, India",Lakhisarai
Abhanpur,21.052778,81.745556,"Abhanpur, Chhattisgarh 493661, India",Raipur
Abhayapuri,26.3589065,90.6484841,"Abhayapuri, Assam, India",Bongaigaon
Abhepar,22.5970422,71.1715873,"Abhepar, Gujarat 363530, India",Surendranagar
Abhol,22.113406,72.9047136,"Abhol, Gujarat 391421, India",Vadodara
Abhwar,26.1704772,86.6283557,"Abhwar, Bihar, India",Supaul
Abiramam,9.4423172,78.4415288,"Abiramam, Tamil Nadu 623601, India",Virudhunagar
Abohar,30.1452928,74.1993043,"Abohar, Punjab 152116, India",Fazilka
Abot Mount,29.4288271,80.1065646,"Abot Mount, Uttarakhand, India",Champawat
Abu Road,24.48,72.78,"Abu Road, Rajasthan 307026, India",Sirohi
Achalda,26.7155368,79.4165048,"Achalda, Uttar Pradesh 206241, India",Auraiya
Achalpur,21.257584,77.5086754,"Achalpur, Maharashtra, India",Amravati
Achanta,16.6020356,81.8076934,"Achanta, Andhra Pradesh, India",West Godavari
Acharapakkam,12.3959,79.8091,"Acharapakkam, Tamil Nadu, India",Kanchipuram
Achhnera,27.1773695,77.7537913,"Achhnera, Uttar Pradesh 283101, India",Mathura
Acholi,24.6791731,76.8456076,"Acholi, Rajasthan 325220, India",Baran
Adakka Kalam,11.152881,76.2725314,"Adakka Kalam, Kerala 679327, India",Malappuram
Adampur,31.4329486,75.713901,"Adampur, Punjab, India",Jalandhar
Adampur(Hisar),29.2822533,75.4715692,"Adampur, Haryana 125052, India",Hisar
Adampur(Patna),25.5866709,85.0480267,"Adampur, Bihar, India",Patna
Adapur(Purvi Champaran),26.9254,84.9421,"Adapur,Bihar,India",Purvi Champaran
